machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;3556
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;21783
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;214527
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;682
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;5778
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;45444
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;239793
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;986
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;5336
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;22822
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;247125
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;600
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;3520
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;24322
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;220386
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;648
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;3951
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;25217
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;205729
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;592
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;3746
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;30999
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;224466
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;675
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;4775
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;34527
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;239802
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;644
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;5944
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;97186
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;254525
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;617
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;4560
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;27077
